topic	sentence0내일 반품할 노트북이 삼성인지 엘지인지 알려주세요0내일 삼성노트북을 반품할거에요 엘지노트북을 반품할거에요0내일 삼성노트북이랑 엘지노트북 중에 어떤 노트북을 반품하는거에요0혹시 내일 반품할 노트북이 삼성과 엘지 중에 무엇인지 아시나요0내일 노트북 반품이 삼성노트북인지 엘지노트북인지 확인부탁드립니다�립니다
0	야 검정색 갤럭시폰 반품하고 싶은거냐 아님 회색 갤럭시폰 반품하고 싶은거냐
0	야 검정색이랑 회색이 있는데 이중에서 반품하고싶은 갤럭시폰이 어떤거냐
0	야 반품한다는 그 갤럭시폰 말이야 검정색이랑 회색 중에 어떤거냐
0	야 갤럭시폰 환불한다고 하던데 검정색으로 할거냐 회색으로 할거냐
0	할인하는 티셔츠가 여성용인가요 남성용인가요
0	여성용 티셔츠가 할인하나요 남성용 티셔츠가 할인하나요
0	할인중인 티셔츠는 여성용입니까 남성용입니까
0	티셔츠 할인 하는 것 여성용 남성용 중에 무엇인지 아십니까
0	여성용 티셔츠를 할인하는지 남성용 티셔츠를 할인하는지 알려주시겠습니까
0	야 할인하는 그 티셔츠 말이야 여성용이야 아님 남성용이야
0	저기 여성용 티셔츠가 할인하는거야 아님 남성용 티셔츠가 할인하는거야
0	야 할인중인 티셔츠 말인데 여성용이냐 남성용이냐
0	저기 티셔츠 할인하는 거 말인데 여자꺼야 아님 남자꺼야
0	야 여자꺼 티셔츠 할인하는지 남자꺼 할인하는지 좀 알려줘
0	빽다방과 메가커피 중에 더치커피가 더 비싼 곳을 알려주세요
0	빽다방과 메가커피 중 더치커피가 더 비싼 곳은 어디인가요
0	빽다방 더치커피가 더 비싼가요 메가커피 더치커피가 더 비싼가요
0	더치커피의 가격이 더 비싼 곳은 빽다방인가요 메가커피인가요
0	더치커피 가격이 더 나가는 곳이 빽다방인지 메가커피인지 확인부탁드립니다
0	얘 빽다방이랑 메가커피 중에 더치커피가 더 비싼곳이 어디니
0	빽다방이랑 메가커피 중에 더치커피가 어디가 더 비싸냐
0	있잖아 빽다방 더치커피가 더 비싸니 메가커피 더치커피가 더 비싸니
0	더치커피 가격이 더 비싼곳이 빽다방이야 메가커피야
0	더치커피 가격이 더 나가는 곳이 빽다방인지 메가커피인지 좀 확인해줘
0	제사 음식을 온라인으로 주문할 지 시장에 가서 살 지 말씀해주세요
0	제사 음식을 온라인이나 시장 중 어디에서 살까요
0	온라인이랑 시장 중에 제사 음식 어디에서 사실겁니까
0	제사음식을 사려고 하는데 온라인이랑 시장 중 어디에서 살까요
0	온라인에서 제사음식을 살까요 시장에서 살까요
0	저기 제사 음식은 온라인으로 살지 시장 가서 살지 말해줄래
0	저기 제사 음식 말이야 온라인이랑 시장 중에 어디에서 살까
0	온라인이랑 시장 중에 제사 음식 어디서 살거냐
0	저기 제사음식 사려고 하는데 온라인이랑 시장 중 어디서 할까
0	야 온라인에서 제사음식 살거야 시장에서 살거야
0	삼성과 애플 중에 노트북 수리 가격이 더 저렴한 곳은 어디입니까
0	노트북 수리를 더 저렴하게 할 수 있는 곳이 삼성인가요 애플인가요
0	노트북 수리 가격이 더 저렴한 곳이 삼성과 애플 중에 어디인지 확인해주세요
0	삼성과 애플 중에 노트북 수리 가격이 어디가 더 저렴한가요
0	삼성이랑 애플 중에 노트북 수리를 더 저렴하게 할 수 있는 곳이 알고싶네요
0	삼성과 애플 중에 말이야 노트북 수리 가격이 더 싼 곳이 어디니
0	노트북 수리 더 싸게 받을 수 있는 곳이 삼성이냐 애플이냐
0	노트북 수리 더 싸게 할 수 있는 곳이 삼성이랑 애플 중에 어디인지 확인 좀 해줄래
0	삼성과 애플 중에 노트북 수리 받는 값이 어디가 더 싸냐
0	삼성이랑 애플 중에 노트북 수리 더 싸게 받을 수 있는 곳이 어딘지 아냐
0	삼성과 애플 중에 서비스 센터가 더 가까운 곳 확인 부탁드립니다
0	여기에서 서비스센터가 더 가까운 곳이 삼성이에요 애플이에요
0	더 서비스센터가 가까운 곳에 있는 것이 뭔지 알고싶어요 삼성이랑 애플 중에서요
0	삼성이랑 애플 중에 서비스 센터가 가까운 곳을 알려주세요
0	여기서 어디가 서비스센터가 더 가까울까요 삼성이랑 애플 중에서
0	야 삼성이랑 애플 중에 서비스 센터 더 가까운 곳 확인좀 해줘
0	저기 여기에서 서비스센트가 더 가까운곳이 삼성이니 애플이니
0	더 서비스센터가 가까운 게 어딘지 알고싶어 삼성이랑 애플 중에
0	야 삼성이랑 애플 중에 서비스 센터 가까운 곳 좀 알려줘봐
0	어디가 서비스센터가 더 가깝냐 삼성이랑 애플 중에
0	주문한 침대가 싱글 사이즈인지 더블 사이즈인지 확인 부탁드립니다
0	싱글 사이즈인가요 더블 사이즈인가요 주문한 침대가
0	싱글 사이즈의 침대를 주문했나요 더블 사이즈의 침대를 주문 했나요
0	주문한 침대가 싱글 사이즈인가요 더블 사이즈인가요
0	주문한 침대가 싱글 사이즈인지 더블 사이즈인지요
0	야 저번에 산 그 침대 말이야 싱글 사이즈 인거니 아님 더블 사이즈 인거니
0	야 싱글 사이즈인거냐 아님 더블 사이즈인거냐 주문했던 침대말이야
0	저기 싱글 사이즈 침대 샀어 아님 더블 사이즈 침대 샀어
0	있잖아 주문한 침대 말이야 싱글 사이즈야 아님 더블 사이즈야
0	저기 그 주문한 침대 말인데 싱글 사이즈인거야 아님 더블 사이즈 인거야
0	신세계몰과 신세계백화점 중에 잡화가 더 많은 곳은 어디인가요
0	잡화가 더 많은 곳을 알려주세요 신세계몰과 신세계백화점중에요
0	신세계계열에서 몰과 백화점 중에 어디가 더 잡화가 많나요
0	잡화가 더 많은 곳을 확인해주시겠어요 신세계몰과 신세계백화점 둘 중에
0	신세계몰이 더 잡화가 많아요 신세계백화점이 더 잡화가 많아요
0	신세계몰이랑 신세계백화점 중에 잡화가 더 많은 곳이 어디냐
0	잡화가 더 많은 곳 좀 알려줘 신세계몰이랑 신시계백화점 중에서
0	어디가 더 좀 더 잡화를 많이 찾을 수 있냐 신세계계열에서 몰이랑 백화점 중에
0	여기 잡화가 더 많은 곳 좀 알아봐 신세계몰과 신세계백화점 중에
0	신세계몰이 더 잡화가 많아 아님 신세계백화점이 더 많아
0	식기건조대 배송 날짜가 오늘인지 내일인지 확인해 주세요
0	오늘인가요 내일인가요 식기건조대 배송 날짜가
0	오늘 식기건조대가 배송되나요 내일 식기건조대가 배송되나요
0	식기건조대 배송날짜가 오늘인가요 내일인가요
0	식기건조대 배송날짜가 오늘인지 내일인지 알 수 있을까요
0	저기 식기건조대 배송 날짜가 오늘인지 내일인지 좀 확인해줄 수 있니
0	야 오늘이냐 내일이냐 식기건조대 배송 날짜 말이야
0	야 오늘 식기건조대가 배송되는거냐 아님 내일 배송되는거냐
0	야 식기건조대 배송날짜 말인데 오늘이야 아님 내일이야
0	야 식기건조대 배송되는 날이 오늘이냐 내일이냐
0	지오다노와 유니클로 중에 어디가 더 저렴한가요
0	어디가 더 저렴한지 알려주세요 지오다노와 유니클로 중에
0	더 저렴한 곳이 어디인지 확인부탁드립니다 지오다노와 유니클로 중에
0	지오다노와 유니클로 중에 더 저렴한 곳이 어디죠
0	지오다노와 유니클로 중에 어디에서 더 저렴하게 구매할 수 있는지 알려주세요
0	지오다노랑 유니클로 중에 어디가 더 싸냐
0	어디가 더 저렴한지 알려줘 지오다노랑 유니클로 중에
0	더 싼 데가 어딘지 확인좀 부탁해 지오다노랑 유니클로 중에
0	야 지오다노랑 유니클로 중에 더 저렴한 곳이 어디냐
0	지오다노랑 유니클로 중 어디서 더 저렴하게 살 수 있는지 알려줄래
0	롯데마트랑 홈플러스 중에 가전 제품이 더 많은 곳 확인부탁드립니다
0	가전제품이 더 많은 곳이 롯데마트인가요 홈플러스인가요
0	롯데마트가 가전제품이 더 많아요 홈플러스가 가전제품이 더 많아요
0	롯데마트와 홈플러스 중에 가전제품을 더 많이 볼 수 있는 곳을 알아봐주시겠어요
0	가전제품이 더 많은 곳이 롯데마트인지 홈플러스 인지 좀 알려주세요
0	롯데마트랑 홈플러스 중에 가전 제품이 더 많은 곳이 어디냐
0	가전제품이 더 많은 곳이 롯데마트야 홈플러스야
0	야 롯데마트가 가전제품이 더 많냐 홈플러스가 가전제품이 더 많냐
0	롯데마트랑 홈플러스 중에 말이야 가전제품을 더 많이 볼 수 있는곳이 어딘지좀 알아봐주라
0	가전제품이 더 많은 곳이 롯데마튼지 홈플러슨지 좀 알려줘봐
0	유니클로랑 무인양품 중에 더 할인을 많이 하는 곳이 어디인지 알려주세요
0	부탁인데 할인을 더 많이 하는 곳이 유니클로인지 무인양품인지 확인해주세요
0	유니클로가 할인을 더 많이 하나요 무인양품이 더 할인을 많이 하나요
0	유니클로랑 무인양품 중에 더 많이 할인하는 곳이 어딘인지 좀 알아봐주시겠어요
0	할인을 많이 하는 곳을 알려주세요 유니클로랑 무인양품 중에
0	유니클로랑 무인양품 중에 더 할인 많이 하는 곳이 어딘지 알려줄래
0	할인을 더 많이 하는 곳이 유니클로인지 무인양품인지 확인해봐
0	야 유니클로가 할인을 더 많이 하냐 무인양품이 더 많이 하냐
0	저기 그 유니클로랑 무인양품 중에 더 많이 할인하는 곳이 어디인지 알아봐
0	저기 할인을 많이 하는 곳 좀 알려줄래 유니클로랑 무인양품 중에
0	고객센터 쉬는 날이 토요일인지 일요일인지 알고싶어요
0	토요일인가요 일요일인가요 고객센터 쉬는 날이
0	토요일과 일요일 중에 고객센터 휴무일이 언제입니까
0	고객센터는 토요일에 쉬나요 일요일에 쉬나요
0	고객센터 쉬는 날이 토요일인지 일요일인지 궁금합니다
0	야 고객센터 쉬는 날이 토요일이야 아님 일요일이야
0	저기 토요일이야 아님 일요일이야 고객센터 쉬는날 말이야
0	야 토요일이랑 일요일 중에 고객센터 쉬는 날이 언제더라
0	야 고객선터는 토요일에 쉬냐 아님 일요일에 쉬냐
0	야 고객센터 쉬는 날 말이야 토요일이였더라 아님 일요일이였더라 알려줘봐
0	재고에 남은 소파가 이인용인지 사인용인지 확인 부탁드립니다
0	이인용인가요 사인용인가요 재고에 남은 소파가
0	이인용 소파가 재고로 남았나요 사인용 소파가 재고로 남았나요
0	재고에 남은 소파가 이인용인가요 사인용인가요
0	재고에 남은 소파가 이인용인지 사인용인지 알고싶어요
0	야 재고에 남은 소파 말이야 이인용인지 사인용인지 알아봐
0	야 이인용이냐 사인용이냐 재고 남은 소파 말이야
0	야 이인용 소파가 재고에 남은거냐 아님 사인용 소파가 재고에 남은거냐
0	야 재고에 남은 소파 말이야 이인용이야 아님 사인용이야
0	야 재고에 남은 소파 말인데 이인용인거니 아님 사인용인거니
0	곱창의 전설과 곱분이 곱창 중에 곱창양이 더 많은 곳은 어디인지 아십니까
0	혹시 곱창양이 더 많은 곳을 아세요 곱창의 전설과 곱분이 중에
0	곱창의 전설과 곱분이 중에 곱창양이 더 많은 곳을 알고싶은데요
0	어디가 곱창이 더 많이 들어가요 곱창의 전설과 곱분이 중에
0	곱창이 더 많은 곳을 알려주세요 곱창의 전설과 곱분이 중에
0	곱창의 전설과 곱분이 곱창 중에 말인데 그 곱창이 더 많은 곳이 어디야
0	저기 곱창양이 더 많은 곳 아니 곱창의 전설이랑 곱분이 중에
0	곱창의 전설과 곱분이 중에 곱창양이 더 많은 곳 알고싶은데 알려줄래
0	야 어디가 곱창이 더 많이 들어가냐 곱창의 전설과 곱분이 중에
0	곱창 더 많은 곳 좀 알려줘 곱창의 전설이랑 곱분이 중에
0	물티슈를 오십매를 살지 백매를 살지 선택해주세요
0	물티슈 오십매짜리 백매짜리 있는데 몇매짜리로 구매하실건가요
0	오십매짜리 물티슈를 구매하실건가요 백매짜리 물티슈를 구매하실건가요
0	오십매짜리와 백매짜리 물티슈가 있습니다 어떤 걸로 구매하시겠습니까
0	오십매가 들어있는 물티슈를 구매하실래요 아니면 백매가 들어있는 물티슈를 구매하실래요
0	저기 물티슈를 오십매로 살지 백매로 살지 골라봐
0	저기 물티퓨 오십매 짜리랑 백매짜리 있는데 몇매짜리로 살거야
0	야 오십매짜리 물티슈 살래 백매짜리 물티슈로 살래
0	저기 오십매짜리랑 백매짜리 물티슈있는데 어떤걸로 살래
0	있잖아 오십매 들어있는 물티슈를 사고싶어 아님 백매 들어있는 물티슈를 사고싶어
0	모레 반품할 책이 선불인지 후불인지 알려주세요
0	선불인가요 후불인가요 모레 반품할 책이
0	모레 반품하기로한 책이요 선불로 환불되는지 후불로 되는지 알려주세요
0	모레 반품할 책이 선불 후불 중에 어떤건가요
0	모레 반품할 책이 선불인지 후불인지 궁금합니다
0	야 모레 반품해야될 책이 선불이냐 후불이냐
0	저기 선불이야 후불이야 모레 반품할 책 말이야
0	모레 반품하기로한 책 말이야 선불로 환불돼 아님 후불로 환불돼
0	모레 반품할 책 말인데 선불이랑 후불 중에 어떤거니
0	야 모레 반품할 책 말이야 선불이냐 후불이냐
0	신세계와 현대 중에 해외 브랜드가 더 많은 곳은 어디인가요
0	신세계와 현대 중에 어디가 더 해외브랜드가 많나요
0	어디가 더 해외브랜드가 많이 들어와 있나요 신세계와 현대 중에
0	신세계랑 현대 중에 해외브랜드 입점율이 더 높은 곳을 알려주세요
0	신세계랑 현대 중에 어디가 더 해외브랜드가 많은지 확인부탁드립니다
0	저 혹시 신세계랑 현대 중에 해외 브랜드가 더 많은 곳이 어디니
0	신세계랑 현대 중에 어디가 더 해외 브랜드가 많냐
0	어디가 해외브랜드가 많이 들어와있니 신세계랑 현대 중에
0	신세계랑 현대 중에 해외브랜드 입점율이 더 높은 곳을 알려줄래
0	신세계랑 현대 중 어디가 더 해외브랜드 많은지 좀 확인해줘
0	시장이랑 백화점 중에 대중교통으로 가기 편한 곳이 어디인가요
0	대중교통으로 시장과 백화점 중 어디가 더 편한지 알려주시겠어요
0	대중교통으로 갈건데 시장과 백화점 중에 어느게 더 편한가요
0	대중교통으로 시장으로 가는게 편한가요 백화점으로 가는게 편한가요
0	시장이 편한지 백화점이 편한지 대중교통으로 가는 법 중 편한 방법을 알려주시겠어요
0	시장이랑 백화점 중에 대중교통으로 가기 편한 곳이 어디냐
0	야 대중교통으로 시장이랑 백화점 중에 어디가 더 편한지 좀 알려줘
0	야 대중교통으로 갈건데 시장이랑 백화점 중에 어느게 더 편하냐
0	저기 대중교통으로 갈건데 시장으로 가는게 더 편해 아님 백화점으로 가는게 더 편해
0	시장으로 가는거랑 백화점으로 가는거랑 대중교통으로 가는 법 중 편한 방법이 뭐니
0	지마켓과 롯데닷컴 중 할인을 많이 하는 곳은 어딘가요
0	할인율이 더 높은 곳을 알려주세요 지마켓과 롯데닷컴 중에
0	지마켓과 롯데닷컴 중에 어디가 더 할인을 많이 하는지 알려주시겠어요
0	할인율이 지마켓과 롯데닷컴중에 어디가 높은지 알아봐주시겠어요
0	어디가 할인율이 더 높죠 지마켓과 롯데닷컴 중에
0	지마켓이랑 롯데닷컴 중 할인 많이 하는 데가 어디냐
0	할인율 더 높은 데 알려줘 지마켓이랑 롯데닷컴 중에
0	지마켓이랑 롯데닷컴 중에 어디가 더 할인 많이 하는지 알려줘봐
0	할인율이 지마켓이랑 롯데닷컴 중 어디가 더 높은지 좀 알아봐
0	어디가 할인율이 더 높냐 지마켓이랑 롯데닷컴 중에
0	패키지 여행 상품이 이인 기준인지 사인 기준인지 알고싶습니다
0	이인 기준인가요 사인 기준인가요 패키지 여행 상품이
0	이 패키지 여행 상품 기준이 이인인지 사인인지 확인부탁드립니다
0	지금 보고 있는 패키지 여행 상품 인원 기준이 이인인가요 사인인가요
0	패키지 여행 상품 기준이 두명인지 네명인지 확인부탁드립니다
0	저기 패키지 여행 상품이 이인 기준인거야 아님 사인 기준인거야
0	야 이인 기준인거야 아님 사인 기준인거야 그 패키지 여행 상품 말이야
0	야 이 패키지 여행 상품 기준이 이인인거냐 아님 사인인거냐 확인 좀 해줘라
0	저기 지금 보고 있는 패키지 여행 상품 말이야 인원 기준이 이인인지 사인인지 좀 알려줄래
0	야 패키지 여행 상품 기준 말이야 두명인지 네명인지 좀 알려줄래
0	불량품을 환불받을지 교환할지 알려주세요
0	불량품 환불하시겠어요 교환하시겠어요
0	환불 혹은 교환 방법이 있는데 불량품 어떻게 처리해드릴까요
0	불량품 환불과 교환중에 어떻게 해드릴까요
0	불량품을 환불할지 교환할지 말씀해주시겠어요
0	야 불량품 환불받을거냐 아님 교환할거냐
0	저기 불량품 환불할거에요 아님 교환할거에요
0	저기 환불 아님 교환 방법이 있는데 불량품 어떻게 하고싶은거야
0	야 불량품 환불하는거랑 교환 중에 뭘로 해줄까
0	야 불량품 말이야 환불할지 교환할지 말해봐
0	갤럭시폰과 아이폰 중에 수리점이 더 가까운 곳은 어디입니까
0	갤럭시폰이 수리점이 더 가까워요 아니면 아이폰 수리점이 더 가까워요
0	더 지근 거리에 수리점이 있는 스마트폰이 갤럭시인가요 아이폰인가요
0	더 가까운 수리점이 있는 스마트폰이 갤럭시와 아이폰 중에 어떤 건지 아십니까
0	갤럭시폰 수리점이 더 가까이에 있는지 아이폰 수리점이 더 가까이에 있는지 알려주세요
0	저기 갤럭시폰이랑 아이폰 중에 수리점 더 가까운 곳 어딘지 아니
0	야 갤럭시폰 수리점이 더 가깝냐 아님 아이폰 수리점이 더 가깝냐
0	야 더 가까운 데에 수리점 있는 폰이 갤럭시냐 아이폰이냐
0	이봐 더 가까운 수리점 있는 스마트폰이 갤럭시랑 아이폰 중에 어떤건지 아니
0	저기 갤럭시폰 수리점이 더 가까이에 있니 아이폰 수리점이 더 가까이 있니
0	오늘 저녁 장을 백화점에서 볼 지 시장에서 볼 지 알려주세요
0	오늘 저녁에 장 볼 때 백화점과 시장 중 어디에서 볼겁니까
0	백화점에서 오늘 저녁 장 볼 거에요 아니면 시장에서 볼 거에요
0	오늘 저녁 장 보기 백화점에서 할까요 시장에서 할까요
0	이따가 저녁에 백화점이랑 시장 중 어디서 장 볼까요
0	저기 오늘 저녁 장은 백화점에서 볼거니 시장에서 볼거니
0	오늘 저녁에 장 볼 때 말이야 백화점이랑 시장 중에 어디서 볼건니
0	야 백화점에서 오늘 저녁 장 볼거냐 시장에서 볼거냐
0	오늘 저녁 장 보는거 말이야 백화점에서 할거냐 시장에서 할거냐
0	저기 이따가 저녁에 백화점이랑 시장 중에 말이야 어디서 볼거야
0	추천 검색에 뜬 아디다스 가방이 검정색인지 파란색인지 궁금합니다
0	검정색인가요 파란색인가요 추천 검색에 뜬 아디다스 가방이
0	검정색 아디다스 가방이 추천 검색에 떴나요 파란색 아디다스 가방이 추천 검색에 떴나요
0	추천 검색에 뜬 아디다스 가방이 검정색인가요 파란색인가요
0	추천 검색에 뜬 아디다스 가방이 검정색인지 파란색인지 알고싶어요
0	저기 추천 검색에 뜬 그 아디다스 가방 말이야 검정색인거야 아님 파란색인거야
0	야 검정색이냐 아님 파란색이냐 그 추천 검색에 뜬 아디다스 가방 말이야
0	야 검정색 아디다스 가방 추천 검색에 뜬거냐 아님 파란색 아디다스 가방이 뜬거냐
0	저기 추천 검색에 뜬 그 아디다스 가방 말이야 검정색이야 아님 파란색이야
0	야 추천 검색에 뜬 아디다스 가방 말이야 검정색인거니 아님 파란색인거니
0	재고에 남은 바지가 어른용인지 아이용인지 알려주세요
0	어른용 바지가 남았나요 아이용 바지가 남았나요
0	지금 남아있는 바지 말이에요 어른용이에요 아이용이에요
0	어른용과 아이용 바지 중에 어떤 바지가 남아있나요
0	남은 바지는 어른용입니까 아이용입니까
0	야 지금 재고에 남은 바지가 어른용이냐 아이용이냐
0	야 어른용 바지 남아있냐 아이용 바지가 남아있냐
0	저기 지금 남아있는 바지 말인데 어른꺼니 아이꺼니
0	야 어른꺼랑 아이꺼 바지 중에 어떤게 남아있냐
0	저기 남은 바지가 어른꺼니 아님 아이꺼니
0	반품할 매트리스가 메모리폼인지 라텍스인지 알려주세요
0	반품할 매트리스는 메모리폼과 라텍스 중에 어떤거에요
0	메모리폼 매트리스를 반품하세요 라텍스 매트리스를 반품하세요
0	메모리폼인가요 라텍스인가요 반품할 매트리스가
0	반품할 매트리스가 메모리폼인지 라텍스인지 궁금합니다
0	저기 반품할 매트리스가 메모리폼인거냐 아님 라텍스인거냐
0	저기 반품할 매트리스 말이야 메모리폼이랑 라텍스 중에 어떤거냐
0	저기 메모리폼 매트리스 반품할거냐 아님 라텍스 매트리스 반품할거냐
0	있잖아 메모리 폼이야 아님 라텍스야 반품하려고 하는 매트리스 말이야
0	야 반품하려고 하는 마트리스가 메모리폼인지 라텍스인지 알려줘
0	오만원 이상 구매하면 받을 수 있는 사은품이 네일 키트인지 기초 화장품 키트인지 알려주세요
0	네일 키트인가요 기초 화장품 키트인가요 오만원 이상 구매하면 받을 수 있는 사은품이
0	네일 키트가 오만원 이상 구매하면 받을 수 있는 사은품인가요 기초 화장품 키트가 그런 사은품인가요
0	오만원 이상 구매하면 받을 수 있는 사은품이 네일 키트인가요 기초 화장품 키트인가요
0	오만원 이상 구매하면 사은품으로 네일 키트를 받을 수 있는지 기초 화장품 키트를 받을 수 있는지 궁금합니다
0	오만원 이상 사면 받을 수 있는 사은품이 네일키트냐 기초화장품 키트냐
0	네일 키트냐 기초 화장품 키트냐 오만원 이상 사면 받을 수 있는거
0	저기 네일 키트가 오만원 이상 사면 받을 수 있는 사은품이냐 아님 기초화장품 키트가 그러냐
0	있잖아 오만원 이상 사면 받을 수 있는 사은품이 네일 키트냐 아님 기초 화장품 세트냐
0	저기 오만원 이상 사면 사은품으로 네일 키트 받는 거냐 아님 기초 화장품 키트 받는 거냐
0	재고로 남아있는 나이키 신발이 남자용인지 여자용인지 확인 부탁드립니다
0	남자용인가요 여자용인가요 재고로 남아있는 나이키 신발이
0	남자용 나이키 신발이 재고로 남아있나요 여자용 나이키 신발이 재고로 남아있나요
0	재고로 남아있는 나이키 신발이 남자용인가요 여자용인가요
0	재고로 남아있는 나이키 신발이 남자용인지 여자용인지 궁금합니다
0	저기 지금 재고에 남은 나이키 신발이 남자꺼야 아님 여자꺼야 알려줄래
0	저기 남자꺼야 아님 여자꺼야 재고에 남아있는 그 나이키 신말 말이야
0	야 남자용 나이키 신발이 지금 재고에 남아있는거야 아님 여자용이 남아있는거야
0	야 재고로 남아있는 그 나이키 신발 말이야 남자용인거야 아님 여자용인거야
0	야 재고로 남아있는 나이키 신발 말이야 그 남자용인거냐 아님 여자용인거냐
0	마카롱이 주문제작인지 기성품인지 확인해주십시오
0	주문제작 마카롱인지 기성품인지 알고싶습니다
0	이 마카롱은 주문제작 혹은 기성품 어느것이죠
0	마카롱은 주문제작이에요 아니면 기성품이에요
0	마카롱이 주문제작인지 기성품인지 알려주세요
0	마카롱이 주문제작이냐 기성품이냐 확인해봐
0	저기 이거 주문제작 마카롱이야 아님 기성품이야 알려줄래
0	이 마카롱 말이야 주문제작 아님 기성품 중에 어느거야
0	마카롱 말이야 주문 제작하는거야 아님 기성품인거야
0	저기 마카롱 주문 제작이야 아님 기성품이야 알려줄래
0	검색 결과에 나온 신발이 흰색인지 검정색인지 확인해주시면 감사하겠습니다
0	흰색 신발이 검색결과에 나왔어요 아니면 검정색 신발이 검색결과에 나왔어요
0	흰색과 검정색 중에 어떤 신발이 검색 결과에 나온겁니까
0	검색결과에 나온 신발이 흰색과 검정색 중 어떤 색인지 아세요
0	검색결과에 흰색신발이 나왔나요 검정색 신발이 나왔나요
0	야 검색 결과에 나온 신발이 흰색이냐 검정색이냐
0	흰색 신발이 검색 결과에 나와있냐 아님 검정색 신발이 나와있냐
0	야 흰색과 검정색 중에 어떤게 검색 결과에 나온거냐
0	야 검색 결과에 나온 신발이 흰색이랑 검정색 중에 어떤 건지 아냐
0	저기 검색 결과에 흰색 신발이 나왔냐 아님 검정색 신발이 나왔냐
0	티셔츠를 라지 사이즈로 살 지 스몰 사이즈로 살 지 알려주세요
0	라지 사이즈 티셔츠를 살까요 스몰 사이즈 티셔츠를 살까요
0	라지 사이즈 티셔츠와 스몰 사이즈 티셔츠 중 어떤 것을 살까요
0	라지 사이즈와 스몰 사이즈 중에 어떤 사이즈의 티셔츠를 살까요
0	티셔츠를 라지 사이즈와 스몰 사이즈 중에 골라주세요
0	야 티셔츠 라지 사이즈로 할까 스몰 사이즈로 할까
0	라지 사이즈 티셔츠 살까 스몰 사이즈 티셔츠 살까
0	저기 라지 사이즈 티셔츠랑 스몰사이즈 티셔츠 중에 어떤거 살까
0	라지 사이즈랑 스몰 사이즈 중에 어떤 티셔츠 사는게 좋을까
0	티셔츠 라지랑 스몰 중에 뭐로 살지 골라줘
0	자동차 할부 말이에요 십개월인지 이십사개월인지 알려주시겠어요
0	자동차할부가 십개월인지 이십사개월인지 확인부탁드립니다
0	십개월할부인가요 이십사개월할부인가요 자동차 할부 말이에요
0	자동차 할부 십개월 혹은 이십사개월 무엇입니까
0	자동차 할부가 십개월입니까 이십사개월입니까
0	있잖아 자동차 할부 말인데 십개월인지 이십사개월인지 좀 알려줘
0	여기 자동차할부 있잖아 십개월인지 이십사개월인지 확인 좀 해줘
0	있잖아 십개월할부야 아님 이십사개월할부야 자동차 할부 말이야
0	그 자동차 할부 십개월이랑 이십사개월 중에 어떤거냐
